,node1,node2,label
22241,541|551.561,551|541.551.561,935
22242,541|551.561,540|541.551,2350
22243,541|551.561,542|541.551,696
22244,561|551.552,551|561.551.552,1843
22245,561|551.552,562|561.551.552,1833
22246,561|551.552,560|561.551,810
22247,561|551.552,571|561.551,58
22248,552|562.572,551|552.562.572,56
22249,552|562.572,562|552.562.572,2947
22250,552|562.572,553|552.562,1159
22251,552|562.572,542|552.562,1721
22252,564|563.553,554|564.563.553,71
22253,564|563.553,565|564.563,675
22254,564|563.553,574|564.563,720
22255,564|563.553,563|564.563,2200
22256,533|523.513,543|533.523.513,716
22257,533|523.513,534|533.523.513,2351
22258,533|523.513,532|533.523,1768
22259,533|523.513,523|533.523,1779
22260,553|552.551,543|553.552.551,2828
22261,553|552.551,563|553.552.551,2202
22262,553|552.551,554|553.552.551,1160
22263,553|552.551,552|553.552.551,1158
22264,553|563.553,543|553.563.553,2828
22265,553|563.553,552|553.563.553,1158
22266,553|563.553,554|553.563,1160
22267,553|563.553,563|553.563,2202
22268,553|554.544,543|553.554.544,2828
22269,553|554.544,552|553.554.544,1158
22270,553|554.544,554|553.554,1160
22271,553|554.544,563|553.554,2202
22272,544|554.544,543|544.554.544,1166
22273,544|554.544,534|544.554.544,1140
22274,544|554.544,545|544.554,73
22275,544|554.544,554|544.554,718
22276,542|543.533,552|542.543.533,1729
22277,542|543.533,541|542.543.533,1722
22278,542|543.533,543|542.543.533,1138
22279,542|543.533,532|542.543,697
22280,553|554.553,552|553.554.553,1158
22281,553|554.553,554|553.554.553,1160
22282,553|554.553,543|553.554,2828
22283,553|554.553,563|553.554,2202
22284,582|583.582,572|582.583.582,667
22285,582|583.582,592|582.583.582,3543
22286,582|583.582,581|582.583.582,63
22287,582|583.582,583|582.583,67
22288,562|563.564,572|562.563.564,2199
22289,562|563.564,561|562.563.564,2198
22290,562|563.564,552|562.563.564,1834
22291,562|563.564,563|562.563,1856
22292,573|583.584,572|573.583.584,2196
22293,573|583.584,574|573.583.584,669
22294,573|583.584,563|573.583.584,69
22295,573|583.584,583|573.583,832
22296,571|572.562,561|571.572.562,809
22297,571|572.562,581|571.572.562,61
22298,571|572.562,572|571.572,665
22299,571|572.562,570|571.572,59
22300,553|563.573,543|553.563.573,2828
22301,553|563.573,563|553.563.573,2202
22302,553|563.573,552|553.563.573,1158
22303,553|563.573,554|553.563,1160
22304,540|530.539,541|540.530.539,1728
22305,540|530.539,530|540.530,1708
22306,540|530.539,550|540.530,999
22307,540|530.539,549|540.530,51
22308,531|541.542,541|531.541.542,695
22309,531|541.542,521|531.541,1769
22310,531|541.542,530|531.541,1725
22311,531|541.542,532|531.541,1136
22312,551|541.551,541|551.541.551,1723
22313,551|541.551,552|551.541.551,55
22314,551|541.551,561|551.541,57
22315,551|541.551,550|551.541,936
22316,560|550.551,550|560.550.551,2945
22317,560|550.551,570|560,811
22318,560|550.551,561|560,1832
22319,560|550.551,569|560.550,938
22320,553|543.544,552|553.543.544,1158
22321,553|543.544,563|553.543.544,2202
22322,553|543.544,554|553.543.544,1160
22323,553|543.544,543|553.543,2828
22324,542|541.531,541|542.541.531,1722
22325,542|541.531,543|542.541.531,1138
22326,542|541.531,532|542.541.531,697
22327,542|541.531,552|542.541.531,1729
22328,540|549.539,541|540.549.539,1728
22329,540|549.539,550|540.549,999
22330,540|549.539,530|540.549,1708
22331,540|549.539,549|540,51
22332,571|572.571,581|571.572.571,61
22333,571|572.571,561|571.572.571,809
22334,571|572.571,572|571.572,665
22335,571|572.571,570|571.572,59
22336,571|581.571,581|571.581.571,61
22337,571|581.571,572|571.581.571,665
22338,571|581.571,570|571,59
22339,571|581.571,561|571.581,809
22340,582|583.593,581|582.583.593,63
22341,582|583.593,592|582.583.593,3543
22342,582|583.593,572|582.583,667
22343,582|583.593,583|582.583,67
22344,582|572.582,581|582.572.582,63
22345,582|572.582,592|582.572,3543
22346,582|572.582,583|582.572,67
22347,582|572.582,572|582.572,667
22348,571|570.580,572|571.570.580,665
22349,571|570.580,581|571.570.580,61
22350,571|570.579,572|571.570.579,665
22351,571|570.579,581|571.570,61
22352,582|592.591,572|582.592.591,667
22353,582|592.591,583|582.592.591,67
22354,582|592.591,581|582.592,63
22355,582|592.591,592|582.592,3543
22356,582|583.573,572|582.583.573,667
22357,582|583.573,581|582.583.573,63
22358,582|583.573,592|582.583.573,3543
22359,582|583.573,583|582.583,67
22360,573|563.553,572|573.563.553,2196
22361,573|563.553,574|573.563.553,669
22362,573|563.553,583|573.563,832
22363,573|563.553,563|573.563,69
22364,562|572.562,572|562.572.562,2199
22365,562|572.562,561|562.572.562,2198
22366,562|572.562,552|562.572.562,1834
22367,562|572.562,563|562,1856
22368,562|561.560,561|562.561.560,2198
22369,562|561.560,552|562.561.560,1834
22370,562|561.560,563|562.561,1856
22371,562|561.560,572|562.561,2199
22372,571|561.551,561|571.561.551,809
22373,571|561.551,572|571.561.551,665
22374,571|561.551,581|571.561.551,61
22375,571|561.551,570|571.561,59
22376,542|532.531,541|542.532.531,1722
22377,542|532.531,543|542.532,1138
22378,542|532.531,552|542.532,1729
22379,542|532.531,532|542.532,697
22380,542|543.542,541|542.543.542,1722
22381,542|543.542,532|542.543.542,697
22382,542|543.542,543|542.543,1138
22383,542|543.542,552|542.543,1729
22384,542|541.540,541|542.541.540,1722
22385,542|541.540,552|542.541.540,1729
22386,542|541.540,532|542.541.540,697
22387,542|541.540,543|542.541,1138
22388,571|572.573,561|571.572.573,809
22389,571|572.573,572|571.572.573,665
22390,571|572.573,581|571.572.573,61
22391,571|572.573,570|571.572,59
22392,551|541.531,561|551.541.531,57
22393,551|541.531,541|551.541.531,1723
22394,551|541.531,552|551.541.531,55
22395,551|541.531,550|551.541,936
22396,562|552.551,561|562.552.551,2198
22397,562|552.551,552|562.552.551,1834
22398,562|552.551,572|562.552.551,2199
22399,562|552.551,563|562.552.551,1856
22400,562|561.562,552|562.561.562,1834
22401,562|561.562,561|562.561.562,2198
22402,562|561.562,572|562.561.562,2199
22403,562|561.562,563|562.561,1856
22404,553|554.564,552|553.554.564,1158
22405,553|554.564,543|553.554.564,2828
22406,553|554.564,563|553.554,2202
22407,553|554.564,554|553.554,1160
22408,542|532.522,552|542.532.522,1729
22409,542|532.522,541|542.532.522,1722
22410,542|532.522,543|542.532.522,1138
22411,542|532.522,532|542.532,697
22412,542|552.551,552|542.552.551,1729
22413,542|552.551,532|542.552.551,697
22414,542|552.551,541|542.552,1722
22415,542|552.551,543|542.552,1138
22416,551|550.559,552|551.550.559,55
22417,551|550.559,561|551.550,57
22418,553|543.542,563|553.543.542,2202
22419,553|543.542,552|553,1158
22420,553|543.542,543|553.543,2828
22421,553|543.542,554|553.543,1160
22422,562|563.553,563|562.563.553,1856
22423,562|563.553,561|562.563.553,2198
22424,562|563.553,572|562.563.553,2199
22425,562|563.553,552|562.563,1834
22426,573|563.562,563|573.563.562,69
22427,573|563.562,572|573.563.562,2196
22428,573|563.562,583|573.563.562,832
22429,573|563.562,574|573.563,669
22430,573|563.564,563|573.563.564,69
22431,573|563.564,574|573.563,669
22432,573|563.564,583|573.563,832
22433,573|563.564,572|573.563,2196
22434,573|574.584,563|573.574.584,69
22435,573|574.584,583|573.574.584,832
22436,573|574.584,574|573.574,669
22437,573|574.584,572|573.574,2196
22438,564|563.573,563|564.563.573,2200
22439,564|563.573,554|564,71
22440,564|563.573,565|564.563,675
22441,564|563.573,574|564.563,720
22442,564|554.553,563|564.554.553,2200
22443,564|554.553,565|564.554.553,675
22444,564|554.553,574|564.554,720
22445,564|554.553,554|564,71
22446,564|565.555,563|564.565.555,2200
22447,564|565.555,565|564.565,675
22448,564|565.555,574|564.565,720
22449,564|565.555,554|564.565,71
22450,562|572.571,561|562.572.571,2198
22451,562|572.571,572|562.572,2199
22452,562|572.571,552|562.572,1834
22453,562|572.571,563|562,1856
22454,562|572.582,561|562.572.582,2198
22455,562|572.582,572|562.572.582,2199
22456,562|572.582,563|562.572.582,1856
22457,562|572.582,552|562.572.582,1834
22458,573|563.573,572|573.563.573,2196
22459,573|563.573,574|573.563.573,669
22460,573|563.573,583|573.563.573,832
22461,573|563.573,563|573.563,69
22462,582|581.571,572|582.581.571,667
22463,582|581.571,592|582.581.571,3543
22464,582|581.571,583|582.581.571,67
22465,582|581.571,581|582.581.571,63
22466,571|572.582,572|571.572.582,665
22467,571|572.582,581|571.572.582,61
22468,571|572.582,561|571.572,809
22469,571|572.582,570|571.572,59
22470,542|543.544,552|542.543.544,1729
22471,542|543.544,532|542.543.544,697
22472,542|543.544,541|542.543,1722
22473,542|543.544,543|542.543,1138
22474,562|563.562,552|562.563.562,1834
22475,562|563.562,572|562.563.562,2199
22476,562|563.562,561|562.563.562,2198
22477,562|563.562,563|562.563,1856
22478,563|564.574,562|563.564.574,1857
22479,563|564.574,573|563.564.574,1858
22480,563|564.574,553|563.564,2201
22481,563|564.574,564|563,70
22482,572|562.561,562|572.562.561,1855
22483,572|562.561,571|572.562.561,2197
22484,572|562.561,582|572.562,666
22485,572|562.561,573|572.562,668
22486,572|562.563,562|572.562.563,1855
22487,572|562.563,573|572.562.563,668
22488,572|562.563,571|572.562,2197
22489,572|562.563,582|572.562,666
22490,552|562.561,562|552.562.561,2947
22491,552|562.561,542|552.562.561,1721
22492,552|562.561,553|552.562,1159
22493,552|562.561,551|552.562,56
22494,570|579.570,571|570.579.570,60
22495,570|579.570,560|570,1831
22496,570|579.570,580|570.579,812
22497,570|579.570,579|570.579,1839
22498,570|579.578,571|570.579.578,60
22499,570|579.578,579|570.579,1839
22500,570|579.578,560|570,1831
22501,570|579.578,580|570.579,812
22502,581|582.592,571|581.582.592,66
22503,581|582.592,580|581,1829
22504,581|582.592,582|581.582,62
22505,581|582.592,591|581.582,64
22506,581|582.581,582|581.582.581,62
22507,581|582.581,580|581.582.581,1829
22508,581|582.581,591|581.582.581,64
22509,581|582.581,571|581.582,66
22510,572|573.572,582|572.573.572,666
22511,572|573.572,571|572.573.572,2197
22512,572|573.572,562|572.573.572,1855
22513,572|573.572,573|572.573,668
22514,572|571.572,582|572.571.572,666
22515,572|571.572,573|572.571,668
22516,572|571.572,571|572.571,2197
22517,572|571.572,562|572.571,1855
22518,572|562.572,582|572.562.572,666
22519,572|562.572,571|572.562.572,2197
22520,572|562.572,562|572.562,1855
22521,572|562.572,573|572.562,668
22522,592|602.612,582|592.602.612,664
22523,592|602.612,593|592.602.612,828
22524,592|602.612,602|592.602.612,3879
22525,592|602.612,591|592.602,1309
22526,592|582.583,582|592.582.583,664
22527,592|582.583,591|592.582.583,1309
22528,592|582.583,602|592.582.583,3879
22529,592|582.583,593|592.582,828
22530,572|582.592,573|572.582.592,668
22531,572|582.592,582|572.582.592,666
22532,572|582.592,571|572.582.592,2197
22533,572|582.592,562|572.582,1855
22534,583|584.583,573|583.584.583,68
22535,583|584.583,582|583.584.583,2944
22536,583|584.583,593|583.584.583,833
22537,583|584.583,584|583.584,830
22538,583|582.592,573|583.582.592,68
22539,583|582.592,582|583.582.592,2944
22540,583|582.592,584|583.582.592,830
22541,583|582.592,593|583.582.592,833
22542,574|575.585,573|574.575.585,721
22543,574|575.585,575|574.575,670
22544,574|575.585,584|574,1859
22545,574|575.585,564|574.575,1719
22546,574|575.574,573|574.575.574,721
22547,574|575.574,584|574.575.574,1859
22548,574|575.574,564|574.575,1719
22549,574|575.574,575|574.575,670
22550,574|584.583,573|574.584.583,721
22551,574|584.583,564|574.584,1719
22552,574|584.583,584|574.584,1859
22553,574|584.583,575|574,670
22554,574|584.585,573|574.584.585,721
22555,574|584.585,575|574,670
22556,574|584.585,584|574.584,1859
22557,574|584.585,564|574.584,1719
22558,541|542.541,551|541.542.541,935
22559,541|542.541,542|541.542.541,696
22560,541|542.541,540|541.542,2350
22561,541|542.541,531|541.542,1724
22562,561|562.552,551|561.562.552,1843
22563,561|562.552,571|561.562.552,58
22564,561|562.552,562|561.562,1833
22565,561|562.552,560|561.562,810
22566,561|551.561,551|561.551.561,1843
22567,561|551.561,562|561.551,1833
22568,561|551.561,560|561.551,810
22569,561|551.561,571|561.551,58
22570,561|571.561,571|561.571.561,58
22571,561|571.561,560|561.571,810
22572,561|571.561,551|561.571,1843
22573,561|571.561,562|561,1833
22574,561|571.581,571|561.571.581,58
22575,561|571.581,562|561.571.581,1833
22576,561|571.581,551|561.571,1843
22577,561|571.581,560|561.571,810
22578,581|591.592,571|581.591.592,66
22579,581|591.592,591|581.591.592,64
22580,581|591.592,582|581.591,62
22581,581|591.592,580|581,1829
22582,581|582.572,571|581.582.572,66
22583,581|582.572,591|581.582.572,64
22584,581|582.572,582|581.582,62
22585,581|582.572,580|581,1829
22586,552|551.541,562|552.551.541,2947
22587,552|551.541,551|552.551.541,56
22588,552|551.541,553|552.551.541,1159
22589,552|551.541,542|552.551,1721
22590,561|560.561,562|561.560.561,1833
22591,561|560.561,571|561.560.561,58
22592,563|562.561,562|563.562.561,1857
22593,563|562.561,564|563.562.561,70
22594,563|562.561,553|563.562,2201
22595,563|562.561,573|563.562,1858
22596,551|550.540,561|551.550.540,57
22597,551|550.540,552|551.550,55
22598,570|579.589,560|570.579.589,1831
22599,570|579.589,579|570.579.589,1839
22600,570|579.589,580|570.579,812
22601,570|579.589,571|570.579,60
22602,569|568.558,560|569.568.558,2359
22603,569|568.558,568|569.568.558,939
22604,569|568.558,559|569.568,2933
22605,569|568.558,579|569,3593
22606,569|568.569,560|569.568.569,2359
22607,569|568.569,568|569,939
22608,569|568.569,559|569.568,2933
22609,569|568.569,579|569,3593
22610,550|540.530,560|550.540.530,937
22611,550|540.530,551|550.540,54
22612,550|540.530,559|550.540,3644
22613,550|540.530,540|550,2946
22614,592|582.581,591|592.582.581,1309
22615,592|582.581,593|592.582.581,828
22616,592|582.581,602|592.582.581,3879
22617,592|582.581,582|592.582,664
22618,592|602.601,591|592.602.601,1309
22619,592|602.601,593|592.602.601,828
22620,592|602.601,602|592.602.601,3879
22621,592|602.601,582|592,664
22622,601|611.601,591|601.611.601,2489
22623,601|611.601,602|601.611.601,827
22624,601|611.601,600|601.611.601,825
22625,601|611.601,611|601.611.601,661
22626,581|571.572,571|581.571.572,66
22627,581|571.572,582|581.571.572,62
22628,581|571.572,591|581.571.572,64
22629,581|571.572,580|581.571.572,1829
22630,583|593.603,582|583.593.603,2944
22631,583|593.603,584|583.593.603,830
22632,583|593.603,593|583.593,833
22633,583|593.603,573|583.593,68
22634,583|573.583,582|583.573.583,2944
22635,583|573.583,593|583.573,833
22636,583|573.583,573|583.573,68
22637,583|573.583,584|583,830
22638,581|571.561,582|581.571.561,62
22639,581|571.561,571|581.571.561,66
22640,581|571.561,591|581.571.561,64
22641,581|571.561,580|581.571.561,1829
22642,599|589.579,589|599.589.579,3592
22643,599|589.579,609|599.589,815
22644,599|589.579,590|599,1302
22645,599|589.579,598|599.589,1850
22646,571|561.560,561|571.561.560,809
22647,571|561.560,581|571.561.560,61
22648,571|561.560,570|571.561,59
22649,571|561.560,572|571.561,665
22650,562|552.562,572|562.552.562,2199
22651,562|552.562,561|562.552.562,2198
22652,562|552.562,552|562.552,1834
22653,562|552.562,563|562.552,1856
22654,573|574.573,572|573.574.573,2196
22655,573|574.573,563|573.574.573,69
22656,573|574.573,583|573.574,832
22657,573|574.573,574|573.574,669
22658,580|581.571,589|580.581.571,813
22659,580|581.571,570|580.581.571,1830
22660,580|581.571,590|580,2361
22661,580|581.571,581|580.581,1000
22662,560|561.551,550|560.561.551,2945
22663,560|561.551,570|560.561.551,811
22664,560|561.551,569|560.561.551,938
22665,560|561.551,561|560.561,1832
22666,582|592.593,581|582.592.593,63
22667,582|592.593,592|582.592.593,3543
22668,582|592.593,572|582.592,667
22669,582|592.593,583|582.592,67
22670,582|572.562,581|582.572.562,63
22671,582|572.562,572|582.572.562,667
22672,582|572.562,592|582.572,3543
22673,582|572.562,583|582.572,67
22674,582|572.571,581|582.572.571,63
22675,582|572.571,583|582.572.571,67
22676,582|572.571,572|582.572,667
22677,582|572.571,592|582.572,3543
22678,582|572.573,581|582.572.573,63
22679,582|572.573,572|582.572.573,667
22680,582|572.573,592|582.572,3543
22681,582|572.573,583|582.572,67
22682,611|621.622,601|611.621.622,660
22683,611|621.622,621|611.621.622,656
22684,611|621.622,610|611.621.622,2049
22685,611|621.622,612|611.621,658
22686,611|621.611,601|611.621.611,660
22687,611|621.611,621|611.621.611,656
22688,611|621.611,610|611.621.611,2049
22689,611|621.611,612|611.621,658
22690,602|612.611,601|602.612.611,824
22691,602|612.611,612|602.612.611,2048
22692,602|612.611,603|602.612,2940
22693,602|612.611,592|602.612,663
22694,602|592.593,601|602.592.593,824
22695,602|592.593,612|602.592.593,2048
22696,602|592.593,592|602,663
22697,602|592.593,603|602.592,2940
22698,591|601.591,601|591.601.591,2488
22699,591|601.591,592|591.601.591,1310
22700,591|601.591,581|591.601.591,65
22701,591|601.591,590|591.601,3541
22702,591|592.591,601|591.592.591,2488
22703,591|592.591,592|591.592.591,1310
22704,591|592.591,581|591.592,65
22705,591|592.591,590|591.592,3541
22706,591|592.582,601|591.592.582,2488
22707,591|592.582,592|591.592.582,1310
22708,591|592.582,581|591.592.582,65
22709,591|592.582,590|591.592.582,3541
22710,591|581.591,601|591.581.591,2488
22711,591|581.591,581|591.581,65
22712,591|581.591,590|591.581,3541
22713,591|581.591,592|591.581,1310
22714,582|581.582,592|582.581.582,3543
22715,582|581.582,581|582.581.582,63
22716,582|581.582,572|582,667
22717,582|581.582,583|582.581,67
22718,582|583.584,592|582.583.584,3543
22719,582|583.584,572|582.583.584,667
22720,582|583.584,583|582.583,67
22721,582|583.584,581|582.583,63
22722,582|592.582,592|582.592.582,3543
22723,582|592.582,572|582.592.582,667
22724,582|592.582,583|582.592.582,67
22725,582|592.582,581|582.592,63
22726,593|592.602,592|593.592.602,3544
22727,593|592.602,583|593.592.602,829
22728,593|592.602,603|593.592,1283
22729,593|592.602,594|593,834
22730,593|594.584,592|593.594.584,3544
22731,593|594.584,594|593.594.584,834
22732,593|594.584,603|593.594,1283
22733,593|594.584,583|593.594,829
22734,591|590.600,592|591.590.600,1310
22735,591|590.600,601|591.590.600,2488
22736,591|590.599,592|591.590.599,1310
22737,591|590.599,601|591.590.599,2488
22738,602|601.600,592|602.601.600,663
22739,602|601.600,601|602.601.600,824
22740,602|601.600,612|602.601,2048
22741,602|601.600,603|602.601,2940
22742,602|603.613,592|602.603.613,663
22743,602|603.613,601|602.603.613,824
22744,602|603.613,612|602.603.613,2048
22745,602|603.613,603|602.603,2940
22746,602|603.593,592|602.603.593,663
22747,602|603.593,601|602.603.593,824
22748,602|603.593,612|602.603,2048
22749,602|603.593,603|602.603,2940
22750,602|612.602,592|602.612.602,663
22751,602|612.602,603|602.612,2940
22752,602|612.602,612|602.612,2048
22753,602|612.602,601|602.612,824
22754,562|563.573,561|562.563.573,2198
22755,562|563.573,563|562.563.573,1856
22756,562|563.573,572|562.563,2199
22757,562|563.573,552|562.563,1834
22758,551|552.551,561|551.552.551,57
22759,551|552.551,541|551.552.551,1723
22760,551|552.551,550|551.552,936
22761,551|552.551,552|551.552,55
22762,551|561.551,561|551.561.551,57
22763,551|561.551,552|551.561.551,55
22764,551|561.551,541|551.561.551,1723
22765,551|561.551,550|551,936
22766,560|570.560,561|560.570.560,1832
22767,560|570.560,569|560.570.560,938
22768,560|570.560,550|560.570,2945
22769,560|570.560,570|560.570,811
22770,560|550.540,561|560.550.540,1832
22771,560|550.540,550|560,2945
22772,560|550.540,569|560.550,938
22773,560|550.540,570|560,811
22774,582|581.580,581|582.581.580,63
22775,582|581.580,592|582.581.580,3543
22776,582|581.580,583|582.581,67
22777,582|581.580,572|582,667
22778,570|580.589,571|570.580.589,60
22779,570|580.589,580|570.580.589,812
22780,570|580.589,560|570,1831
22781,570|580.589,579|570.580,1839
22782,591|581.571,581|591.581.571,65
22783,591|581.571,601|591.581.571,2488
22784,591|581.571,590|591.581.571,3541
22785,591|581.571,592|591.581.571,1310
22786,560|561.571,570|560.561.571,811
22787,560|561.571,550|560,2945
22788,560|561.571,561|560.561,1832
22789,560|561.571,569|560,938
22790,579|578.588,570|579.578.588,2360
22791,579|578.588,589|579.578.588,3380
22792,579|578.588,578|579.578,2043
22793,579|578.588,569|579,1840
22794,579|569.560,570|579.569.560,2360
22795,579|569.560,578|579,2043
22796,579|569.560,589|579,3380
22797,579|569.560,569|579.569,1840
22798,579|570.580,570|579.570.580,2360
22799,579|570.580,589|579.570,3380
22800,579|570.580,578|579.570,2043
22801,579|570.580,569|579.570,1840
22802,580|590.600,581|580.590.600,1000
22803,580|590.600,590|580,2361
22804,580|590.600,589|580.590,813
22805,580|590.600,570|580,1830
22806,580|570.579,581|580.570.579,1000
22807,580|570.579,590|580.570.579,2361
22808,580|570.579,570|580,1830
22809,580|570.579,589|580,813
22810,573|574.564,572|573.574.564,2196
22811,573|574.564,583|573.574.564,832
22812,573|574.564,563|573.574,69
22813,573|574.564,574|573.574,669
22814,573|572.562,572|573.572.562,2196
22815,573|572.562,563|573.572,69
22816,573|572.562,583|573.572,832
22817,573|572.562,574|573.572,669
22818,573|572.582,572|573.572.582,2196
22819,573|572.582,563|573.572.582,69
22820,573|572.582,574|573.572,669
22821,573|572.582,583|573.572,832
22822,562|572.573,572|562.572.573,2199
22823,562|572.573,563|562,1856
22824,562|572.573,552|562.572,1834
22825,562|572.573,561|562.572,2198
22826,593|583.573,583|593.583.573,829
22827,593|583.573,603|593.583,1283
22828,593|583.573,592|593.583,3544
22829,593|583.573,594|593.583,834
22830,593|583.593,583|593.583.593,829
22831,593|583.593,594|593.583.593,834
22832,593|583.593,603|593.583.593,1283
22833,593|583.593,592|593.583,3544
22834,593|583.584,583|593.583.584,829
22835,593|583.584,603|593.583.584,1283
22836,593|583.584,594|593.583,834
22837,593|583.584,592|593.583,3544
22838,593|603.613,583|593.603.613,829
22839,593|603.613,594|593.603,834
22840,593|603.613,592|593.603,3544
22841,593|603.613,603|593,1283
22842,573|583.593,583|573.583.593,832
22843,573|583.593,563|573.583.593,69
22844,573|583.593,574|573.583.593,669
22845,573|583.593,572|573,2196
22846,573|583.573,583|573.583.573,832
22847,573|583.573,563|573.583.573,69
22848,573|583.573,572|573,2196
22849,573|583.573,574|573.583,669
22850,573|572.571,583|573.572.571,832
22851,573|572.571,563|573.572.571,69
22852,573|572.571,574|573.572,669
22853,573|572.571,572|573.572,2196
22854,584|583.593,583|584.583.593,831
22855,584|583.593,594|584.583.593,3375
22856,584|583.593,574|584.583.593,1860
22857,584|583.593,585|584.583.593,2203
22858,602|612.613,592|602.612.613,663
22859,602|612.613,601|602.612.613,824
22860,602|612.613,603|602.612.613,2940
22861,602|612.613,612|602.612.613,2048
22862,602|612.622,592|602.612.622,663
22863,602|612.622,612|602.612.622,2048
22864,602|612.622,603|602.612.622,2940
22865,602|612.622,601|602.612,824
22866,593|592.593,592|593.592.593,3544
22867,593|592.593,603|593.592.593,1283
22868,593|592.593,583|593.592.593,829
22869,593|592.593,594|593,834
22870,593|583.582,592|593.583.582,3544
22871,593|583.582,583|593.583.582,829
22872,593|583.582,603|593.583,1283
22873,593|583.582,594|593.583,834
22874,592|602.603,582|592.602.603,664
22875,592|602.603,602|592.602.603,3879
22876,592|602.603,591|592.602,1309
22877,592|602.603,593|592.602,828
22878,561|551.541,562|561.551.541,1833
22879,561|551.541,560|561.551.541,810
22880,561|551.541,571|561.551,58
22881,561|551.541,551|561.551,1843
22882,570|560.570,580|570.560.570,812
22883,570|560.570,571|570.560,60
22884,570|560.570,579|570,1839
22885,570|560.570,560|570.560,1831
22886,601|591.581,591|601.591.581,2489
22887,601|591.581,602|601.591.581,827
22888,601|591.581,611|601.591,661
22889,601|591.581,600|601.591,825
22890,592|591.581,591|592.591.581,1309
22891,592|591.581,602|592.591.581,3879
22892,592|591.581,593|592.591.581,828
22893,592|591.581,582|592.591,664
22894,592|582.572,582|592.582.572,664
22895,592|582.572,602|592.582,3879
22896,592|582.572,593|592.582,828
22897,592|582.572,591|592.582,1309
22898,581|582.583,591|581.582.583,64
22899,581|582.583,582|581.582.583,62
22900,581|582.583,580|581,1829
22901,581|582.583,571|581.582,66
22902,603|604.614,593|603.604.614,1282
22903,603|604.614,602|603.604.614,3831
22904,603|604.614,604|603.604.614,3860
22905,603|604.614,613|603.604,2941
22906,592|593.603,602|592.593.603,3879
22907,592|593.603,591|592.593.603,1309
22908,592|593.603,582|592.593,664
22909,592|593.603,593|592.593,828
22910,603|602.592,602|603.602.592,3831
22911,603|602.592,604|603.602.592,3860
22912,603|602.592,613|603.602,2941
22913,603|602.592,593|603,1282
22914,603|593.592,602|603.593.592,3831
22915,603|593.592,604|603.593.592,3860
22916,603|593.592,613|603.593.592,2941
22917,603|593.592,593|603.593,1282
22918,612|611.601,602|612.611.601,662
22919,612|611.601,622|612.611.601,2490
22920,612|611.601,611|612.611.601,659
22921,612|611.601,613|612.611,2942
22922,612|622.612,602|612.622.612,662
22923,612|622.612,622|612.622.612,2490
22924,612|622.612,613|612.622.612,2942
22925,612|622.612,611|612.622,659
22926,601|611.612,602|601.611.612,827
22927,601|611.612,591|601.611.612,2489
22928,601|611.612,611|601.611.612,661
22929,601|611.612,600|601.611,825
22930,601|591.590,602|601.591.590,827
22931,601|591.590,611|601.591.590,661
22932,601|591.590,600|601.591,825
22933,601|591.590,591|601.591,2489
22934,612|611.610,602|612.611.610,662
22935,612|611.610,622|612.611,2490
22936,612|611.610,611|612.611,659
22937,612|611.610,613|612.611,2942
22938,612|602.601,602|612.602.601,662
22939,612|602.601,622|612.602.601,2490
22940,612|602.601,613|612.602.601,2942
22941,612|602.601,611|612.602,659
22942,603|604.603,602|603.604.603,3831
22943,603|604.603,604|603,3860
22944,603|604.603,593|603.604,1282
22945,603|604.603,613|603.604,2941
22946,592|593.594,602|592.593.594,3879
22947,592|593.594,591|592.593.594,1309
22948,592|593.594,593|592.593,828
22949,592|593.594,582|592.593,664
22950,592|593.583,602|592.593.583,3879
22951,592|593.583,582|592.593.583,664
22952,592|593.583,593|592.593.583,828
22953,592|593.583,591|592.593,1309
22954,612|602.612,611|612.602.612,659
22955,612|602.612,602|612.602.612,662
22956,612|602.612,613|612.602.612,2942
22957,612|602.612,622|612.602.612,2490
22958,612|622.632,611|612.622.632,659
22959,612|622.632,622|612.622,2490
22960,612|622.632,602|612.622,662
22961,612|622.632,613|612.622,2942
22962,592|582.592,591|592.582.592,1309
22963,592|582.592,602|592.582.592,3879
22964,592|582.592,593|592.582.592,828
22965,592|582.592,582|592.582,664
22966,590|591.592,591|590.591.592,1854
22967,590|591.592,599|590.591,1303
22968,590|591.592,600|590.591,2047
22969,590|591.592,580|590.591,3936
22970,590|599.598,591|590.599.598,1854
22971,590|599.598,580|590,3936
22972,590|599.598,600|590.599,2047
22973,590|599.598,599|590,1303
22974,583|582.572,582|583.582.572,2944
22975,583|582.572,573|583.582.572,68
22976,583|582.572,584|583.582,830
22977,583|582.572,593|583.582,833
22978,583|582.581,582|583.582.581,2944
22979,583|582.581,593|583.582,833
22980,583|582.581,584|583.582,830
22981,583|582.581,573|583.582,68
22982,583|593.583,582|583.593.583,2944
22983,583|593.583,593|583.593.583,833
22984,583|593.583,584|583.593,830
22985,583|593.583,573|583.593,68
22986,583|584.594,582|583.584.594,2944
22987,583|584.594,593|583.584.594,833
22988,583|584.594,573|583.584,68
22989,583|584.594,584|583.584,830
22990,583|573.574,582|583.573.574,2944
22991,583|573.574,573|583.573.574,68
22992,583|573.574,584|583,830
22993,583|573.574,593|583.573,833
22994,583|573.572,582|583.573.572,2944
22995,583|573.572,573|583.573.572,68
22996,583|573.572,584|583,830
22997,583|573.572,593|583.573,833
22998,583|573.563,582|583.573.563,2944
